Type                                  Module                      Label             Process        Full Name                                              Split level
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterRejected"   "HLT"          Phase2TrackerDigiedmDetSetVectorPhase2TrackerDigiPhase2TrackerDigiedmrefhelperFindForDetSetVectoredmRefTTClusterAssociationMap_TTClusterAssociatorFromPixelDigis_ClusterRejected_HLT     1
TTStubAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTStubAssociatorFromPixelDigis"   "StubAccepted"    "HLT"          Phase2TrackerDigiedmDetSetVectorPhase2TrackerDigiPhase2TrackerDigiedmrefhelperFindForDetSetVectoredmRefTTStubAssociationMap_TTStubAssociatorFromPixelDigis_StubAccepted_HLT     1
TTStubAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTStubAssociatorFromPixelDigis"   "StubRejected"    "HLT"          Phase2TrackerDigiedmDetSetVectorPhase2TrackerDigiPhase2TrackerDigiedmrefhelperFindForDetSetVectoredmRefTTStubAssociationMap_TTStubAssociatorFromPixelDigis_StubRejected_HLT     1
TTTrackAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTTrackAssociatorFromPixelDigis"   "Level1TTTracks"   "HLT"          Phase2TrackerDigiedmDetSetVectorPhase2TrackerDigiPhase2TrackerDigiedmrefhelperFindForDetSetVectoredmRefTTTrackAssociationMap_TTTrackAssociatorFromPixelDigis_Level1TTTracks_HLT     1
TTTrackAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTTrackAssociatorFromPixelDigisExtended"   "Level1TTTracks"   "HLT"          Phase2TrackerDigiedmDetSetVectorPhase2TrackerDigiPhase2TrackerDigiedmrefhelperFindForDetSetVectoredmRefTTTrackAssociationMap_TTTrackAssociatorFromPixelDigisExtended_Level1TTTracks_HLT     1
double                                "fixedGridRhoFastjetAllTmp"   ""                "HLT"          double_fixedGridRhoFastjetAllTmp__HLT                  1
double                                "l1tTowerCalibration"       "EstimatedNvtx"   "HLT"          double_l1tTowerCalibration_EstimatedNvtx_HLT           1
double                                "ak4GenJets"                "rho"             "HLT"          double_ak4GenJets_rho_HLT                              1
double                                "ak4GenJetsNoNu"            "rho"             "HLT"          double_ak4GenJetsNoNu_rho_HLT                          1
double                                "ak8GenJets"                "rho"             "HLT"          double_ak8GenJets_rho_HLT                              1
double                                "ak8GenJetsNoNu"            "rho"             "HLT"          double_ak8GenJetsNoNu_rho_HLT                          1
double                                "hltAK4PFJets"              "rho"             "HLT"          double_hltAK4PFJets_rho_HLT                            1
double                                "hltAK4PFJetsForTaus"       "rho"             "HLT"          double_hltAK4PFJetsForTaus_rho_HLT                     1
double                                "ak4GenJets"                "sigma"           "HLT"          double_ak4GenJets_sigma_HLT                            1
double                                "ak4GenJetsNoNu"            "sigma"           "HLT"          double_ak4GenJetsNoNu_sigma_HLT                        1
double                                "ak8GenJets"                "sigma"           "HLT"          double_ak8GenJets_sigma_HLT                            1
double                                "ak8GenJetsNoNu"            "sigma"           "HLT"          double_ak8GenJetsNoNu_sigma_HLT                        1
double                                "hltAK4PFJets"              "sigma"           "HLT"          double_hltAK4PFJets_sigma_HLT                          1
double                                "hltAK4PFJetsForTaus"       "sigma"           "HLT"          double_hltAK4PFJetsForTaus_sigma_HLT                   1
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "HLT"          recoVertexsedmAssociation_offlinePrimaryVertices__HLT     1
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "hltEgammaGsfTracksL1Seeded"   ""                "HLT"          TrajectorysToOnerecoGsfTracksAssociation_hltEgammaGsfTracksL1Seeded__HLT     1
edm::DetSetVector<GEMDigiSimLink>     "simMuonGEMDigis"           "GEM"             "HLT"          GEMDigiSimLinkedmDetSetVector_simMuonGEMDigis_GEM_HLT     1
edm::DetSetVector<Phase2TrackerDigi>    "mix"                       "Tracker"         "HLT"          Phase2TrackerDigiedmDetSetVector_mix_Tracker_HLT       1
edm::DetSetVector<PixelDigi>          "simSiPixelDigis"           "Pixel"           "HLT"          PixelDigiedmDetSetVector_simSiPixelDigis_Pixel_HLT     1
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           "Pixel"           "HLT"          PixelDigiSimLinkedmDetSetVector_simSiPixelDigis_Pixel_HLT     1
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           "Tracker"         "HLT"          PixelDigiSimLinkedmDetSetVector_simSiPixelDigis_Tracker_HLT     1
edm::DetSetVector<PixelDigiSimLink>    "prunedDigiSimLinks"        "siPixel"         "HLT"          PixelDigiSimLinkedmDetSetVector_prunedDigiSimLinks_siPixel_HLT     1
edm::DetSetVector<PixelDigiSimLink>    "prunedDigiSimLinks"        "siphase2OT"      "HLT"          PixelDigiSimLinkedmDetSetVector_prunedDigiSimLinks_siphase2OT_HLT     1
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"          RPCDigiSimLinkedmDetSetVector_simMuonRPCDigis_RPCDigiSimLink_HLT     1
